Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 20/10/2025 ; 01:00 ; 00027 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00015 ; 00001 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 20/10/2025 ; 02:00 ; 00016 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00001 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 20/10/2025 ; 03:00 ; 00010 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 20/10/2025 ; 04:00 ; 00008 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00000 ; 00001 ; 00000 ; 00000 ; 00000
00001 ; 20/10/2025 ; 05:00 ; 00022 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00000 ; 00010 ; 00001 ; 00000 ; 00000
00001 ; 20/10/2025 ; 06:00 ; 00137 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00070 ; 00004 ; 00034 ; 00000 ; 00000 ; 00000
00001 ; 20/10/2025 ; 07:00 ; 00169 ; 00015 ; 00000 ; 00000 ; 00000 ; 00000 ; 00126 ; 00011 ; 00076 ; 00007 ; 00000 ; 00000
00001 ; 20/10/2025 ; 08:00 ; 00624 ; 00049 ; 00000 ; 00000 ; 00000 ; 00000 ; 00611 ; 00023 ; 00360 ; 00012 ; 00000 ; 00000
00001 ; 20/10/2025 ; 09:00 ; 00745 ; 00054 ; 00000 ; 00000 ; 00000 ; 00000 ; 00604 ; 00056 ; 00383 ; 00016 ; 00000 ; 00000
00001 ; 20/10/2025 ; 10:00 ; 00618 ; 00073 ; 00000 ; 00000 ; 00000 ; 00000 ; 00518 ; 00056 ; 00298 ; 00013 ; 00000 ; 00000
00001 ; 20/10/2025 ; 11:00 ; 00623 ; 00059 ; 00000 ; 00000 ; 00000 ; 00000 ; 00395 ; 00040 ; 00187 ; 00012 ; 00000 ; 00000
00001 ; 20/10/2025 ; 12:00 ; 00672 ; 00060 ; 00000 ; 00000 ; 00000 ; 00000 ; 00458 ; 00038 ; 00190 ; 00017 ; 00000 ; 00000
00001 ; 20/10/2025 ; 13:00 ; 00678 ; 00060 ; 00000 ; 00000 ; 00000 ; 00000 ; 00463 ; 00038 ; 00192 ; 00014 ; 00000 ; 00000
00001 ; 20/10/2025 ; 14:00 ; 00754 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00510 ; 00037 ; 00228 ; 00014 ; 00000 ; 00000
00001 ; 20/10/2025 ; 15:00 ; 00805 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00546 ; 00030 ; 00242 ; 00012 ; 00000 ; 00000
00001 ; 20/10/2025 ; 16:00 ; 00850 ; 00065 ; 00000 ; 00000 ; 00000 ; 00000 ; 00474 ; 00038 ; 00226 ; 00011 ; 00000 ; 00000
00001 ; 20/10/2025 ; 17:00 ; 00913 ; 00049 ; 00000 ; 00000 ; 00000 ; 00000 ; 00574 ; 00041 ; 00271 ; 00011 ; 00000 ; 00000
00001 ; 20/10/2025 ; 18:00 ; 01118 ; 00044 ; 00000 ; 00000 ; 00000 ; 00000 ; 00675 ; 00032 ; 00294 ; 00013 ; 00000 ; 00000
00001 ; 20/10/2025 ; 19:00 ; 00905 ; 00033 ; 00000 ; 00000 ; 00000 ; 00000 ; 00617 ; 00018 ; 00227 ; 00009 ; 00000 ; 00000
00001 ; 20/10/2025 ; 20:00 ; 00697 ; 00025 ; 00000 ; 00000 ; 00000 ; 00000 ; 00473 ; 00014 ; 00160 ; 00008 ; 00000 ; 00000
00001 ; 20/10/2025 ; 21:00 ; 00495 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00297 ; 00010 ; 00104 ; 00005 ; 00000 ; 00000
00001 ; 20/10/2025 ; 22:00 ; 00281 ; 00015 ; 00000 ; 00000 ; 00000 ; 00000 ; 00166 ; 00012 ; 00089 ; 00006 ; 00000 ; 00000
00001 ; 20/10/2025 ; 23:00 ; 00188 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00115 ; 00007 ; 00041 ; 00001 ; 00000 ; 00000
00001 ; 20/10/2025 ; 24:00 ; 00042 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00029 ; 00003 ; 00012 ; 00001 ; 00000 ; 00000
00001 ; 21/10/2025 ; 01:00 ; 00021 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00018 ; 00001 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 21/10/2025 ; 02:00 ; 00014 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00014 ; 00000 ; 00002 ; 00000 ; 00000 ; 00000
